Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],time_interval
Cameroon,CMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1348.73034982642,1259.11726274524,1184.78708876509,1059.52036258923,1048.98721258248,1049.70666325428,1064.64604534038,1083.64160982656,1105.24520408117,1124.90047673352,1137.62452694395,1156.05039084412,1175.87167375962,1206.61051205391,1256.69364977555,1250.05888282553,1262.87190623645,1281.39248465146,1281.01983712805,1277.18161924691,1277.26569342146,1283.56704129709,1305.66803326031,1332.86000418986,1366.9665946418,1399.67533596114,1420.02987202676,1429.23468505978,1445.26777135975,1454.56406902089,1419.32820837781,1428.56258542601,1441.79490497622,1461.01960433874,0.242336008506465
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,31700.5462697892,30654.3331377446,30563.3788184233,31032.7546013139,32074.1562430473,32595.4515181692,32801.3018549155,33867.0079131743,34894.6134280252,36391.5353258957,37906.8601153293,38200.4561131358,38921.6672955178,39270.0234544073,40108.758738975,41006.222931999,41663.5123054377,42106.8724267286,42067.5686998623,40376.4153677037,41164.3399062659,42043.6419607016,42320.6431282192,42851.1705330235,43643.2356474848,43594.1941045394,43551.3426018259,44339.3886692751,44907.3436837248,45100.2914903262,42366.1285192527,44359.6167266713,45227.1447354204,44388.4029989751,1.02013432843685
Caribbean small states,CSS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8907.26600882953,8772.37195955829,8652.43795335037,8654.82798150088,8860.50513522655,9016.84792111389,9279.50388495644,9490.29697975969,9725.20373269511,10005.1476749378,10270.308800027,10305.7234517976,10430.6323144868,10527.4180241417,10733.6101774883,10999.8373231165,11402.8666187316,11690.712321223,11666.0375611833,11279.1404660961,11312.963416319,11435.4956978845,11618.4235961751,11534.5908424923,11643.1511350441,11629.1207744449,11593.1842957737,11726.7791329226,11902.2579416699,11898.6645175696,10749.7671642364,11787.7206026029,14352.3454170579,16071.7529221593,1.78847243958147
Cayman Islands,CYM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96176.301897316,96280.2483371848,93166.3167746731,84026.9727715813,79519.843769806,78393.736284355,77448.5098255613,76617.5433740014,76872.5809178913,77295.8456647776,78077.4336532717,78883.2820823737,80597.7086377604,82170.5930267913,76733.5560519709,79522.6108085869,82929.3037994227,..,..
Central African Republic,CAF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,531.386005186624,512.251839994438,464.335463318982,451.199935173444,458.654523583543,478.343894844851,447.350630664551,458.133835282113,466.634108539465,470.168358919745,445.803292984421,455.338380225211,461.498085646823,426.159580840432,442.015236050639,436.100265100646,447.808106503381,459.746066353429,459.562457200129,488.388025038458,500.529277355033,513.594266750323,534.883562611355,338.165705774485,338.700384843051,351.879754769554,362.218331167884,371.603131036313,378.263077805926,381.414046354948,375.216924073281,370.980373009536,364.690753380729,357.41141092809,-1.20182171942531
Central Europe and the Baltics,CEB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6723.43225447515,6007.75186928602,5726.0304867815,5741.0706289644,5953.74690080499,6289.72848370947,6589.99634289398,6755.04732241057,6947.75171492645,7091.75562397155,7414.04719516812,7698.37011267926,8028.87142198965,8383.32231320605,8897.30849677211,9369.40247525957,10012.7324168901,10696.6657653021,11157.5480217657,10786.9940966363,10981.6411387421,11394.5564252586,11515.0345377333,11616.6892973247,12015.4565911634,12528.0826430876,12905.9526304618,13597.8815401223,14298.5480218641,14877.710568059,14399.9831050402,15442.3018009896,16307.9844012834,16383.520643127,2.69902186214494
Chad,TCD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,429.249146287734,449.281437941904,465.176012378275,383.259144524179,412.84427713059,399.999491997851,391.173018751144,399.388142759007,412.84313431088,396.011825198062,379.351546845647,409.703668680867,429.426973878544,473.468021688179,605.239354938899,682.353873385601,662.88550503464,661.772364713043,658.874460599641,662.923252830749,727.52494507333,703.123215062758,739.338364774171,754.17181329132,777.935681080277,774.411603124119,703.466007109583,660.126133751546,653.349761493496,652.703215971488,622.278506280593,595.849500560509,593.771929638929,599.468386203142,1.01213857133841
Channel Islands,CHI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5380.31790088782,5706.52341028346,6242.32996648293,6550.9135478083,6777.65315953877,7277.56189356649,7666.98478435409,8125.95552843634,8359.87490225593,8238.30095198812,8549.07907277501,8720.91013452207,8902.83797477025,9226.15045327464,9744.32243851806,10212.7824998686,10725.0547635292,11169.2867807371,11477.0900930207,11232.8231190015,11770.7565803284,12380.0152958743,13014.5824913304,13316.0522954787,13418.9757682399,13567.3572174332,13642.0180926986,13612.9242460618,13904.1153384034,13743.8930417408,12725.2123430055,14027.3068772462,14235.3616274723,14247.7133480235,2.951057470366
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,905.032457182256,975.462915554045,1100.64611588261,1239.1293732409,1384.93015732283,1520.02946941719,1653.43378890759,1787.76697702905,1909.62232844399,2038.2064740575,2193.89686642215,2359.57238513523,2557.89161202627,2797.17665912283,3061.83317262874,3390.71615945044,3800.76579592591,4319.03139751247,4711.64344921263,5128.90412774381,5647.06872713954,6152.69687271855,6591.66249405644,7056.42309152349,7532.78530130172,8016.44559489998,8516.52874235572,9053.22872461936,9619.20947510677,10155.5108830542,10358.1699971792,11223.2553476968,11560.2421221334,12174.0041075641,7.87602223973287
